iter	Passed	Remaining
826	25789	5394
827	25821	5363
828	25851	5332
829	25884	5301
830	25913	5269
831	25944	5238
832	25975	5207
833	26005	5176
834	26036	5144
835	26066	5113
836	26097	5082
837	26126	5050
838	26157	5019
839	26187	4988
840	26217	4956
841	26248	4925
842	26280	4894
843	26310	4863
844	26340	4831
845	26371	4800
846	26402	4769
847	26433	4738
848	26464	4706
849	26494	4675
850	26525	4644
851	26555	4612
852	26586	4581
853	26616	4550
854	26647	4519
855	26680	4488
856	26710	4456
857	26741	4425
858	26771	4394
859	26802	4363
860	26833	4332
861	26864	4300
862	26895	4269
863	26926	4238
864	26955	4206
865	26985	4175
866	27016	4144
867	27046	4113
868	27079	4082
869	27111	4051
870	27142	4019
871	27171	3988
872	27202	3957
873	27234	3926
874	27267	3895
875	27298	3864
876	27329	3833
877	27360	3801
878	27390	3770
879	27422	3739
880	27454	3708
881	27485	3677
882	27519	3646
883	27553	3615
884	27584	3584
885	27615	3553
886	27645	3521
887	27675	3490
888	27705	3459
889	27736	3428
890	27766	3396
891	27797	3365
892	27826	3334
893	27857	3303
894	27888	3271
895	27919	3240
896	27951	3209
897	27982	3178
898	28011	3147
899	28041	3115
900	28074	3084
901	28104	3053
902	28133	3022
903	28165	2991
904	28197	2959
905	28227	2928
906	28258	2897
907	28293	2866
908	28324	2835
909	28355	2804
910	28385	2773
911	28415	2741
912	28446	2710
913	28477	2679
914	28509	2648
915	28540	2617
916	28570	2585
917	28601	2554
918	28632	2523
919	28662	2492
920	28692	2461
921	28724	2430
922	28755	2398
923	28787	2367
924	28817	2336
925	28849	2305
926	28880	2274
927	28911	2243
928	28944	2212
929	28975	2180
930	29005	2149
931	29036	2118
932	29067	2087
933	29098	2056
934	29129	2025
935	29161	1993
936	29191	1962
937	29222	1931
938	29252	1900
939	29284	1869
940	29316	1838
941	29347	1806
942	29378	1775
943	29408	1744
944	29439	1713
945	29470	1682
946	29500	1651
947	29530	1619
948	29562	1588
949	29593	1557
950	29622	1526
951	29651	1495
952	29684	1463
953	29714	1432
954	29745	1401
955	29776	1370
956	29808	1339
957	29853	1308
958	29884	1277
959	29915	1246
960	29949	1215
961	29985	1184
962	30017	1153
963	30051	1122
964	30082	1091
965	30117	1060
966	30149	1028
967	30181	997
968	30217	966
969	30250	935
970	30282	904
971	30314	873
972	30345	842
973	30377	810
974	30413	779
975	30445	748
976	30476	717
977	30509	686
978	30543	655
979	30580	624
980	30632	593
981	30670	562
982	30700	530
983	30731	499
984	30763	468
985	30793	437
986	30827	406
987	30858	374
988	30892	343
989	30922	312
990	30953	281
991	30983	249
992	31015	218
993	31045	187
994	31075	156
995	31106	124
996	31140	93
997	31194	62
998	31231	31
999	31268	0
